generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1761746147-umSoGAaADjRwqzblxUPl,2025-10-29 13:55:47.602,0.012867,,-0.062067,0,0,185462,750,396,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,27443,15760,Kilo Code,
gen-1761746138-bJ0he74Hc4D54VcoIf7L,2025-10-29 13:55:38.593,0.004791,,-0.003622,0,0,40118,780,620,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,4364,3827,Kilo Code,
gen-1761746133-XeYqhV562K78KYQbqv6r,2025-10-29 13:55:33.870,0.002053,,-0.003727,0,0,27643,505,470,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,2393,2326,Kilo Code,
gen-1761746114-lyiH7uabUi9jhwKNHXWp,2025-10-29 13:55:14.775,0.006522,,-0.000022,0,0,24854,3148,1039,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,14854,5566,Kilo Code,
gen-1761746106-KTgevsQyH0rKeety9C8M,2025-10-29 13:55:06.700,0.002266,,-0.003074,0,0,24153,1021,962,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,5930,5780,Kilo Code,
gen-1761746099-UY7PF9GIT2RT8GXtETrV,2025-10-29 13:54:59.571,0.002813,,-0.00167,0,0,20502,767,728,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,4784,4692,Kilo Code,
gen-1761746092-8B9EdLLsVuFx7jEHCTcQ,2025-10-29 13:54:52.233,0.003479,,-0.000023,0,0,16447,426,389,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,3359,3239,Kilo Code,
gen-1761746062-fSWUiR63bMRIl34AbyR2,2025-10-29 13:54:22.000,0.012489,,-0.059257,0,0,177340,811,459,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,26424,15943,Kilo Code,
gen-1761746052-r5e5KbyKIqLJQZbnyl3s,2025-10-29 13:54:12.115,0.004699,,-0.003822,0,0,40558,820,675,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,5024,4520,Kilo Code,
gen-1761746046-wrd2h8xsAtcFseZLcP89,2025-10-29 13:54:06.434,0.002466,,-0.003434,0,0,28083,567,532,x-ai/grok-4-fast,xAI,standard,false,true,,completed,stop,3051,3038,Kilo Code,
